,主旨,原因,不合格原因暨檢出量詳細說明,法規限量標準,seg
10,芝麻菜(FRESH ARGULA),農藥殘留含量不符規定,檢出殘留農藥凡殺同0.54 ppm、氟尼胺0.14 ppm及滅脫定0.03 ppm,依據「農藥殘留容許量標準」，農藥凡殺同、氟尼胺定量極限均為0.01 ppm、滅脫定為不得檢出，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥', '0.54', '氟尼胺', '0.14', '及滅', '脫定', '0.03']"
11,珍珠米(ARROZ MEDIO PERLADO),農藥殘留含量不符規定,檢出殘留農藥第滅寧0.19 ppm、協力精2.52 ppm,依據「農藥殘留容許量標準」，農藥第滅寧容許量為0.05 ppm、協力精不得檢出，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥', '第滅寧', '0.19', '協力', '2.52']"
12,蓬巴白米(ARROZ BLANCO BOMBA),農藥殘留含量不符規定,檢出殘留農藥第滅寧0.25 ppm、協力精2.94 ppm,依據「農藥殘留容許量標準」，農藥第滅寧容許量為0.05 ppm、協力精為不得檢出，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥', '第滅寧', '0.25', '協力', '2.94']"
13,"128110IVBL托盘-太極 10""盤烟藍(128110IVBL托盘-太極 10""盤烟藍)",容器具-溶出試驗不符規定,案內產品以4%醋酸(60℃，30分鐘)溶出試驗結果，蒸發殘渣值85 ppm,依據「食品器具容器包裝衛生標準」，以甲醛-三聚氰胺為原料之塑膠類，其溶出試驗4%醋酸(60℃，30分鐘)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。,"['案內產品', '4%', '60', '30', '分鐘', '溶出', '試驗', '結果', '蒸發', '殘渣值', '85', 'ppm', '醋酸']"
14,鮮綠蘆筍(FRESH  ASPARAGUS),農藥殘留含量不符規定,檢出殘留農藥陶斯松0.21 ppm,依據「農藥殘留容許量標準」，農藥陶斯松容許量為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '陶斯松', '0.21', 'ppm']"
15,胡蘿蔔(CARROTS(BABY YELLOW)),農藥殘留含量不符規定,檢出殘留農藥佈滅淨0.03 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '滅淨', '0.03', 'ppm']"
16,高麗菜 (FRESH CABBAGE),農藥殘留含量不符規定,檢出殘留農藥克凡派1.3 ppm、三泰隆0.06 ppm,依據「農藥殘留容許量標準」，農藥克凡派容許量為1.0 ppm、三泰隆定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥克凡', '1.3', '0.06', '三泰']"
17,鮮高麗菜(FRESH CABBAGES),農藥殘留含量不符規定,檢出殘留農藥菲克利0.05 ppm、芬普尼0.009 ppm,依據「農藥殘留容許量標準」，農藥菲克利定量極限為0.01 ppm、芬普尼定量極限為0.001 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '菲克', '檢出', '殘留', '農藥', '0.05', '芬普尼', '0.009']"
18,KIRKLAND SIGNATURE 科克蘭冷凍藍莓(722573 KS BLUEBERRY FROZEN),農藥殘留含量不符規定,檢出殘留農藥賽安勃0.03 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '賽安勃', '0.03', 'ppm']"
19,乾燥辣椒(DRIED CHILI),農藥殘留含量不符規定,檢出殘留農藥施得圃0.11 ppm,依據「農藥殘留容許量標準」，農藥施得圃容許量為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥施', '0.11', 'ppm']"
20,鮮奇異果(FRESH KIWIFRUITS),農藥殘留含量不符規定,檢出殘留農藥依芬寧0.01 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '依芬寧', '0.01', 'ppm']"
21,鮮葡萄(FRESH GRAPES),農藥殘留含量不符規定,檢出殘留農藥護汰芬0.5 ppm,依據「農藥殘留容許量標準」，農藥護汰芬容許量為0.2 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥護汰芬', '0.5', 'ppm']"
22,酥心糖(SOFT PEANUT CANDY),真菌毒素含量不符規定,檢出黃麴毒素B1 4µg/kg、總黃麴毒素7 µg/kg,依據「食品中污染物質及毒素衛生標準」，黃麴毒素B1限量為2 µg/kg，總黃麴毒素限量為4 µg/kg，本案不符合食品安全衛生管理法第17條規定。,"['kg', '毒素', '檢出', 'B1', '總黃']"
23,粉末綠茶(4908522051677 POWDER GREEN TEA),農藥殘留含量不符規定,檢出殘留農藥氟大滅4.65 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '氟大滅', '4.65', 'ppm']"
24,玄米茶包50袋(JN BROWN RICE TEA (TEA BAG)),農藥殘留含量不符規定,檢出殘留農藥氟大滅0.44 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '氟大滅', '0.44', 'ppm']"
25,塑膠砧板 藍色(WD-005 塑膠砧板 藍色),容器具-溶出試驗不符規定,案內產品以4%醋酸(60℃，30分鐘)溶出試驗結果，蒸發殘渣值為272 ppm,依據「食品器具容器包裝衛生標準」，聚丙烯塑膠類其溶出試驗4%醋酸(60℃，30分鐘)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。,"['案內產品', '4%', '60', '30', '分鐘', '溶出', '試驗', '結果', '蒸發', '殘渣值', '272', 'ppm', '醋酸']"
26,塑膠砧板 粉色(WD-005 塑膠砧板 粉色),容器具-溶出試驗不符規定,案內產品以4%醋酸(60℃，30分鐘)溶出試驗結果，蒸發殘渣值為496 ppm,依據「食品器具容器包裝衛生標準」，聚丙烯塑膠類其溶出試驗4%醋酸(60℃，30分鐘)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。,"['案內產品', '4%', '60', '30', '分鐘', '溶出', '試驗', '結果', '蒸發', '殘渣值', '496', 'ppm', '醋酸']"
27,塑膠砧板 黃色(WD-005 塑膠砧板 黃色),容器具-溶出試驗不符規定,案內產品以4%醋酸(60℃，30分鐘)溶出試驗結果，蒸發殘渣值為162 ppm,依據「食品器具容器包裝衛生標準」，聚丙烯塑膠類其溶出試驗4%醋酸(60℃，30分鐘)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。,"['案內產品', '4%', '60', '30', '分鐘', '溶出', '試驗', '結果', '蒸發', '殘渣值', '162', 'ppm', '醋酸']"
28,三文治醬(PBL0014 LADYS CHOICE HAM SPREAD),防腐劑含量不符規定,檢出防腐劑苯甲酸0.6 g/kg、己二烯酸1.2 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，防腐劑用量以Benzoic acid計為1.0 g/kg以下、用量以Sorbic acid 計為1.0 g/kg以下，且混合使用防腐劑時，每一種防腐劑之使用量除以其用量標準所得之數值(即使用量/用量標準)總和不得大於1，本案不符合食品安全衛生管理法第18條規定。,"['kg', '己二烯', '檢出', '0.6', '1.2', '苯甲酸', '防腐']"
29,三文治醬(PBL0006 LADY'S CHOICE SPREAD),防腐劑含量不符規定,檢出防腐劑苯甲酸0.7 g/kg、己二烯酸1.4 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，防腐劑用量以Benzoic acid計為1.0 g/kg以下、用量以Sorbic acid計為1.0 g/kg以下，且混合使用防腐劑時，每一種防腐劑之使用量除以其用量標準所得之數值(即使用量/用量標準)總和不得大於1，本案不符合食品安全衛生管理法第18條規定。,"['kg', '己二烯', '檢出', '0.7', '1.4', '苯甲酸', '防腐']"
30,綠荳蔻(GREEN CARDAMON),農藥殘留含量不符規定,檢出殘留農藥益達胺0.18 ppm、畢芬寧0.07 ppm、賽滅寧0.8 ppm、愛殺松0.33 ppm、拜裕松0.86 ppm、賽洛寧0.68 ppm,依據「農藥殘留容許量標準」，農藥益達胺、拜裕松定量極限均為0.05 ppm、畢芬寧、賽洛寧容許量均為0.03 ppm、賽滅寧容許量為0.5 ppm、愛殺松為不得檢出，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥益', '達胺', '0.18', '畢芬寧', '0.07', '賽滅寧', '0.8', '愛殺', '0.33', '拜裕松', '0.86', '賽洛寧', '0.68']"
31,絞股藍(AMACHAZURU),農藥殘留含量不符規定,檢出殘留農藥貝芬替2.8 ppm,依據「農藥殘留容許量標準」，農藥貝芬替容許量為1.0 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '貝芬', '2.8', 'ppm']"
32,麻瘋柑葉(Dried Kaffir Lime Leaves),農藥殘留含量不符規定,檢出殘留農藥畢芬寧0.16 ppm,依據「農藥殘留容許量標準」，農藥畢芬寧定量極限為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '畢芬寧', '0.16', 'ppm']"
33,孜然(CUMIN),農藥殘留含量不符規定,檢出殘留農藥亞滅培2.06 ppm、亞托敏1.47 ppm、益達胺0.46 ppm,依據「農藥殘留容許量標準」，農藥亞滅培、亞托敏及益達胺定量極限均為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥亞', '滅培', '2.06', '亞托敏', '1.47', '益達胺', '0.46']"
34,木薯餅(BALADO PANJANG),防腐劑含量不符規定,檢出防腐劑苯甲酸0.06 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，案內產品非表列准用之食品範圍，本案不符合食品安全衛生管理法第18項規定。,"['檢出', '0.06', 'kg', '苯甲酸', '防腐']"
35,鮮蜜柑(FRESH SATSUMA ORANGE),農藥殘留含量不符規定,檢出殘留農藥得克利0.03 ppm,依據「農藥殘留容許量標準」，農藥得克利定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '0.03', 'ppm', '克利']"
36,鮮蜜柑(FRESH SATSUMA ORANGE),農藥殘留含量不符規定,檢出殘留農藥得克利0.05 ppm,依據「農藥殘留容許量標準」，農藥得克利定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '0.05', 'ppm', '克利']"
37,百里香(THYME),農藥殘留含量不符規定,檢出殘留農藥益達胺0.03 ppm,依據「農藥殘留容許量標準」，農藥益達胺定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥益', '達胺', '0.03', 'ppm']"
38,香菜(CORIANDER),農藥殘留含量不符規定,檢出殘留農藥賽普洛0.19 ppm、達滅芬0.13 ppm、護汰寧0.08 ppm,依據「農藥殘留容許量標準」，農藥賽普洛 、達滅芬及護汰寧定量極限均為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥賽', '普洛', '0.19', '達滅芬', '0.13', '護汰寧', '0.08']"
39,豌豆苗(PEAS),農藥殘留含量不符規定,"檢出殘留農藥2,6-Diisopropylnaphthalene (2,6-DIPN) 0.02 ppm",本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Diisopropylnaphthalene', 'DIPN', '0.02', 'ppm']"
40,甜菜葉(RED CHARD),農藥殘留含量不符規定,檢出殘留農藥賽普洛0.02 ppm,依據「農藥殘留容許量標準」，農藥賽普洛定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥賽', '普洛', '0.02', 'ppm']"
41,精選果香風味紅茶包(JN FLAVOR TEA BAGS),農藥殘留含量不符規定,"檢出殘留農藥2,6-Diisopropylnaphthalene (2,6-DIPN) 0.23 ppm",本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Diisopropylnaphthalene', 'DIPN', '0.23', 'ppm']"
42,"黑胡椒(SRE AMBEL, BLACK PEPPER)",農藥殘留含量不符規定,檢出殘留農藥亞滅培0.11 ppm,依據「農藥殘留容許量標準」，農藥亞滅培定量極限為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥亞', '滅培', '0.11', 'ppm']"
43,洋甘菊茶(CHAMOMILE TBN001 CHAMOMILE),農藥殘留含量不符規定,檢出殘留農藥可滅蹤0.12 ppm,依據「農藥殘留容許量標準」，農藥可滅蹤定量極限為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '0.12', 'ppm']"
44,橄欖(橄欖),甜味劑含量不符規定,檢出甜味劑環己基(代)磺醯胺酸2.9 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，甜味劑用量以 Cyclamate 計為1.0 g/kg 以下，且同一食品依表列使用範圍規定混合使用甜味劑時，每一種甜味劑之使用量除以其用量標準所得之數值(即使用量/用量標準)總和不得大於1，本案不符合食品安全衛生管理法第18條規定。,"['檢出', '環己', '2.9', 'kg', '甜味']"
45,芫荽粉(CORIANDER POWDER),農藥殘留含量不符規定,檢出殘留農藥亞滅培0.11 ppm、貝芬替0.55 ppm、菲克利0.19 ppm、益達胺0.15 ppm、賽速安1.03 ppm、芬普尼0.008 ppm及得克利0.12 ppm,依據「農藥殘留容許量標準」，農藥亞滅培、貝芬替、菲克利、益達胺、賽速安、得克利定量極限皆為0.05 ppm、芬普尼定量極限為0.002 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '菲克', '檢出', '殘留', '農藥亞', '滅培', '0.11', '貝芬', '0.55', '0.19', '益達胺', '0.15', '賽速安', '1.03', '芬普尼', '0.008', '0.12', '克利']"
46,黑麻(BLACK SESAME SEEDS (DRIED)),農藥殘留含量不符規定,檢出殘留農藥達有龍0.09 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '0.09', 'ppm']"
47,土耳其達克一口蛋糕-青葡萄口味(DANKEK BITES GRAPE CAKE),防腐劑含量不符規定,檢出防腐劑己二烯酸1.9 g/kg、丙酸1.5 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，防腐劑用量以Sorbic Acid計為1.0 g/kg以下、用量以Propionic Acid計為2.5 g/kg以下，且混合使用防腐劑時，每一種防腐劑之使用量除以其用量標準所得之數值(即使用量/用量標準)總和不得大於 1，本案不符合食品安全衛生管理法第18條規定。,"['kg', '己二烯', '檢出', '1.9', '1.5', '丙酸', '防腐']"
48,玫瑰花瓣(ROSE PETAL),農藥殘留含量不符規定,檢出殘留農藥百滅寧0.10 ppm、畢達本0.09 ppm,依據「農藥殘留容許量標準」，農藥百滅寧定量極限為0.05 ppm、畢達本為不得檢出，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥', '百滅寧', '0.10', '畢達本', '0.09']"
49,59419 甘草粉 Licorice ground(45526 LICORICE ROOTS NATURAL POWDER),農藥殘留含量不符規定,"檢出殘留農藥o,p-滴滴涕0.12 ppm及 p,p-滴滴涕0.10 ppm、 o,p-滴滴滴 0.12 ppm及 p,p -滴滴滴0.09 ppm、o,p-滴滴易0.06 ppm 及 p,p-滴滴易0.33 ppm及地特靈 0.15 ppm",本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['ppm', '滴滴', '0.12', '滴滴涕', '檢出', '殘留', '農藥', '0.10', '0.09', '0.06', '0.33', '特靈', '0.15']"
50,盤(盤),容器具-溶出試驗不符規定,案內產品以(4%醋酸溶液/攝氏95℃30分鐘)溶出試驗結果，蒸發殘渣量64 ppm,依據「食品器具容器包裝衛生標準」，甲醛-三聚氰胺樹脂其溶出試驗(4%醋酸溶液/攝氏95℃30分鐘)蒸發殘渣合格標準為30 ppm以下，本案不符合食品安全衛生管理法第17條規定。,"['案內產品', '4%', '攝氏', '95', '30', '分鐘', '溶出', '試驗', '結果', '蒸發', '殘渣量', '64', 'ppm', '醋酸', '溶液']"
51,荷蘭芹(PARSLEY),農藥殘留含量不符規定,"檢出殘留農藥2,6-Diisopropylnaphthalene (2,6-DIPN) 0.02 ppm",本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Diisopropylnaphthalene', 'DIPN', '0.02', 'ppm']"
52,蝦蛄肉(FRESH SHRIMP),重金屬含量不符規定,檢出鎘2.1 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘限量為0.5 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出鎘', '2.1', 'mg', 'kg']"
53,部份發酵茶 (C3)(PARTLY FERMENTED TEA (C3)),農藥殘留含量不符規定,檢出殘留農藥普克利0.11 ppm,依據「農藥殘留容許量標準」，農藥普克利定量極限為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥普', '0.11', 'ppm', '克利']"
54,鮮蘋果(FRESH APPLES),農藥殘留含量不符規定,檢出殘留農藥派美尼9.4 ppm,依據「農藥殘留容許量標準」，農藥派美尼容許量為7.0 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '美尼', '9.4', 'ppm']"
55,鮮草莓(FRESH STRAWBERRY),農藥殘留含量不符規定,檢出殘留農藥賽安勃0.02 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '賽安勃', '0.02', 'ppm']"
56,鮮藍莓(FRESH BLUEBERRIES),農藥殘留含量不符規定,檢出殘留農藥賽安勃0.04 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', '賽安勃', '0.04', 'ppm']"
57,蔬菜木薯餅(MC WILCO KERUPUK SAYUR 4X4),漂白劑含量不符規定,檢出二氧化硫0.32 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，漂白劑用量以二氧化硫計為0.03 g/kg以下，本案不符合食品安全衛生管理法第18條規定。,"['檢出', '0.32', 'kg', '二氧化硫']"
58,"NUK迪士尼安睡型乳膠安撫奶嘴，較大型(40737720 LA SOOTHER S3 DISNEY PLUS, 1 /BOX)",容器具-溶出試驗不符規定,案內產品蒸發殘渣溶出試驗(水、40℃/24小時)為68 ppm,依據「食品器具容器包裝衛生標準」，合格標準為40 ppm以下，本案不符合食品安全衛生管理法第17條規定。,"['案內產品', '蒸發', '殘渣', '溶出', '試驗', '40', '24', '小時', '68', 'ppm']"
59,靈芝(GANODERMA),農藥殘留含量不符規定,檢出殘留農藥巴賽松0.18 ppm、芬普寧0.06 ppm,依據「農藥殘留容許量標準」，農藥巴賽松為不得檢出、芬普寧定量極限為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['ppm', '檢出', '殘留', '農藥', '巴賽', '0.18', '芬普寧', '0.06']"
60,紅茶,農藥殘留含量不符規定,檢出殘留農藥合賽多0.29 ppm,依據「農藥殘留容許量標準」，農藥合賽多定量極限為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '合賽', '0.29', 'ppm']"
61,乾鹿茸菇,農藥殘留含量不符規定,檢出殘留農藥撲滅寧0.14 ppm,依據「農藥殘留容許量標準」，農藥撲滅寧定量極限為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '滅寧', '0.14', 'ppm']"
62,乾猴頭菇,農藥殘留含量不符規定,檢出殘留農藥克美素0.76 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥克美素', '0.76', 'ppm']"
63,鮮草莓,農藥殘留含量不符規定,檢出殘留農藥氟尼胺0.04 ppm,依據「農藥殘留容許量標準」，農藥氟尼胺定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '氟尼胺', '0.04', 'ppm']"
64,鮮草莓,農藥殘留含量不符規定,檢出殘留農藥氟尼胺0.21 ppm,依據「農藥殘留容許量標準」，農藥氟尼胺定量極限為0.01 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥', '氟尼胺', '0.21', 'ppm']"
65,紫蘇葉,農藥殘留含量不符規定,檢出殘留農藥Penthiopyrad 17.63 ppm,本案不符合食品安全衛生管理法第15條有關「農藥殘留容許量標準」規定。,"['檢出', '殘留', '農藥', 'Penthiopyrad', '17.63', 'ppm']"
66,maizenaku 玉米澱粉,漂白劑含量不符規定,檢出二氧化硫0.088 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，准用亞硫酸鹽類漂白劑用量以二氧化硫殘留量計為 0.030 g/kg以下，本案不符合食品安全衛生管理法第18條規定。,"['檢出', '0.088', 'kg', '二氧化硫']"
67,酸黃瓜(CUPITO PICKLED CUCUMBERS),甜味劑含量不符規定,檢出甜味劑糖精0.04 g/kg,依據「食品添加物使用範圍及限量暨規格標準」，案內產品非表列准用之食品範圍，本案不符合食品安全衛生管理法第18條規定。,"['檢出', '0.04', 'kg', '糖精', '甜味']"
68,冷凍紅皮刀,重金屬含量不符規定,檢出重金屬甲基汞0.6 mg/kg,依據「食品中污染物質及毒素衛生標準」，甲基汞(其他魚類)限量為0.5 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出', '0.6', 'mg', 'kg', '甲基汞', '重金']"
69,冷凍黑皮刀,重金屬含量不符規定,檢出重金屬甲基汞0.7 mg/kg,依據「食品中污染物質及毒素衛生標準」，甲基汞(其他魚類)限量為0.5 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出', '0.7', 'mg', 'kg', '甲基汞', '重金']"
70,冷凍黑旗魚,重金屬含量不符規定,檢出重金屬鎘0.15 mg/kg,依據「食品中污染物質及毒素衛生標準」，鎘 (其他魚類)限量為0.05 mg/kg，本案不符合食品安全衛生管理法第17條規定。,"['檢出', '屬鎘', '0.15', 'mg', 'kg', '重金']"
71,小茴香子,農藥殘留含量不符規定,檢出殘留農藥亞滅培0.12 ppm,依據「農藥殘留容許量標準」，農藥亞滅培定量極限為0.05 ppm，本案不符合食品安全衛生管理法第15條規定。,"['檢出', '殘留', '農藥亞', '滅培', '0.12', 'ppm']"
